               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.092199,            0.040264,            0.023679,              0.6126,              0.2117,             0.14463,            0.040911,            0.065398,            0.025507,            0.021381,            0.070341,           0.0032955,           0.0032955
                   1,            0.067564,            0.031031,            0.016611,             0.19667,             0.59768,             0.29473,            0.085686,            0.057928,            0.018788,            0.014438,             0.04021,           0.0064975,           0.0064975
                   2,            0.064416,             0.02663,           0.0094625,             0.35806,              0.4776,             0.34193,             0.11397,             0.06647,            0.016375,           0.0076215,           0.0099464,           0.0095676,           0.0095676
                   3,            0.057142,            0.024955,           0.0065464,             0.48621,             0.64956,             0.51111,             0.19736,            0.052421,            0.016218,            0.003937,            0.009406,            0.009406,            0.009406
                   4,            0.051585,            0.023105,            0.004438,             0.66273,             0.76258,             0.72659,             0.30327,            0.047144,            0.015891,           0.0042316,            0.009406,            0.009406,            0.009406
                   5,            0.048011,            0.023825,           0.0043948,             0.72282,             0.72219,             0.76056,             0.33812,            0.044382,            0.015843,           0.0033002,            0.009208,            0.009208,            0.009208
                   6,            0.045504,            0.022986,           0.0037758,             0.84591,             0.78927,             0.87383,             0.45453,            0.038812,            0.015759,           0.0030933,             0.00901,             0.00901,             0.00901
                   7,            0.043542,            0.022598,           0.0033594,             0.79081,             0.81354,               0.835,             0.40059,            0.043936,             0.01586,           0.0045836,            0.008812,            0.008812,            0.008812
                   8,            0.041502,             0.02198,           0.0032019,             0.81386,             0.79331,             0.85703,             0.41691,            0.039001,            0.016187,           0.0039237,            0.008614,            0.008614,            0.008614
                   9,            0.041111,            0.023678,           0.0028236,             0.86765,             0.80413,             0.88252,              0.4534,            0.037972,            0.015283,           0.0027961,            0.008416,            0.008416,            0.008416
                  10,            0.040222,            0.022255,           0.0026964,             0.90219,             0.82129,             0.88882,             0.46024,            0.036629,            0.015243,           0.0030692,            0.008218,            0.008218,            0.008218
                  11,            0.038782,            0.021368,           0.0023278,             0.87475,             0.84352,             0.89939,             0.46739,            0.037734,            0.015273,           0.0027343,             0.00802,             0.00802,             0.00802
                  12,            0.038287,            0.021417,           0.0026923,             0.82721,               0.811,             0.86376,             0.46022,            0.037015,            0.015529,           0.0046542,            0.007822,            0.007822,            0.007822
                  13,            0.037269,            0.021628,           0.0023686,             0.84526,             0.85799,             0.90213,             0.49398,            0.035801,            0.014848,           0.0024864,            0.007624,            0.007624,            0.007624
                  14,             0.03634,            0.019966,           0.0024106,             0.85716,             0.88061,             0.90468,             0.48312,            0.036807,            0.014776,           0.0024935,            0.007426,            0.007426,            0.007426
                  15,            0.036183,            0.020686,           0.0019536,             0.88462,             0.84967,             0.90118,             0.49817,            0.035329,            0.015092,           0.0024814,            0.007228,            0.007228,            0.007228
                  16,            0.035214,            0.020729,           0.0020617,             0.86155,             0.86832,             0.89668,             0.48066,            0.035358,            0.014912,            0.002603,             0.00703,             0.00703,             0.00703
                  17,            0.034745,            0.020642,           0.0018448,             0.89542,             0.85487,             0.90871,             0.50362,             0.03511,            0.014687,           0.0027514,            0.006832,            0.006832,            0.006832
                  18,            0.034262,              0.0194,           0.0018146,             0.89506,             0.85449,             0.90653,             0.50589,            0.034291,            0.014802,           0.0022126,            0.006634,            0.006634,            0.006634
                  19,            0.034095,            0.019299,           0.0015243,             0.90212,             0.84802,              0.9087,             0.50754,            0.034306,            0.014996,           0.0026144,            0.006436,            0.006436,            0.006436
                  20,             0.03356,            0.019564,           0.0016895,               0.868,             0.83129,             0.88464,             0.47311,            0.035466,            0.015772,           0.0027487,            0.006238,            0.006238,            0.006238
                  21,            0.033153,            0.019386,           0.0017138,             0.89564,             0.83902,             0.90665,             0.51104,            0.033979,            0.015009,           0.0023709,             0.00604,             0.00604,             0.00604
                  22,            0.032255,            0.019018,           0.0017278,             0.92001,             0.84312,             0.91223,              0.5129,            0.034411,            0.014677,           0.0022933,            0.005842,            0.005842,            0.005842
                  23,            0.032697,            0.019023,           0.0015674,             0.90104,             0.85909,             0.91519,             0.51605,            0.033994,            0.014494,           0.0022122,            0.005644,            0.005644,            0.005644
                  24,            0.031502,            0.018347,           0.0015936,              0.8761,             0.85809,             0.89941,             0.50239,            0.034577,            0.015905,           0.0026883,            0.005446,            0.005446,            0.005446
                  25,            0.031803,            0.018534,           0.0012724,             0.90226,             0.84681,             0.90041,             0.51183,            0.033765,            0.015169,            0.002937,            0.005248,            0.005248,            0.005248
                  26,            0.030881,            0.019028,           0.0015365,             0.90425,             0.86726,             0.91511,             0.52777,            0.033043,            0.014426,           0.0028728,             0.00505,             0.00505,             0.00505
                  27,            0.030781,            0.018753,           0.0012763,             0.89643,             0.87546,             0.92024,             0.53313,             0.03314,            0.014663,           0.0022497,            0.004852,            0.004852,            0.004852
                  28,             0.03033,            0.018701,           0.0013564,             0.88414,             0.86902,             0.90643,             0.51186,            0.033861,            0.014941,           0.0026533,            0.004654,            0.004654,            0.004654
                  29,            0.030625,            0.017456,           0.0012577,             0.89353,             0.87851,             0.92142,             0.52526,             0.03286,            0.014674,           0.0026383,            0.004456,            0.004456,            0.004456
                  30,            0.029997,            0.018353,           0.0010256,             0.90928,             0.88964,             0.92559,             0.53061,            0.033015,            0.014432,           0.0025884,            0.004258,            0.004258,            0.004258
                  31,            0.029907,            0.017996,           0.0012485,             0.87452,             0.86425,             0.89934,             0.51618,            0.033559,            0.015012,           0.0032043,             0.00406,             0.00406,             0.00406
                  32,             0.02881,            0.017129,            0.001024,             0.92217,             0.85838,             0.91198,             0.53672,            0.032398,            0.014584,           0.0028045,            0.003862,            0.003862,            0.003862
                  33,            0.028773,            0.017896,           0.0010267,             0.90146,             0.87997,             0.92352,             0.53611,            0.033144,            0.014906,           0.0026529,            0.003664,            0.003664,            0.003664
                  34,            0.028353,            0.017168,          0.00098486,             0.89759,             0.84978,              0.9104,              0.5231,            0.033237,             0.01518,            0.003133,            0.003466,            0.003466,            0.003466
                  35,            0.028147,            0.017064,            0.001116,             0.89667,             0.86547,             0.90847,             0.52283,            0.033179,            0.014773,           0.0031431,            0.003268,            0.003268,            0.003268
                  36,            0.028195,            0.016803,           0.0010171,             0.89339,             0.88433,             0.92157,             0.54574,             0.03245,            0.014429,           0.0027119,             0.00307,             0.00307,             0.00307
                  37,            0.027051,             0.01672,          0.00078698,             0.90432,             0.86594,             0.91861,              0.5287,            0.032902,            0.015127,           0.0029047,            0.002872,            0.002872,            0.002872
                  38,            0.027318,            0.016901,          0.00065727,             0.93111,             0.86157,              0.9283,             0.54738,              0.0325,             0.01471,           0.0025245,            0.002674,            0.002674,            0.002674
                  39,            0.027077,            0.016741,          0.00096038,             0.92325,             0.86576,             0.92582,             0.54085,             0.03266,            0.014661,           0.0025455,            0.002476,            0.002476,            0.002476
                  40,            0.027011,            0.016784,          0.00076991,             0.93149,             0.84981,             0.91877,             0.54475,            0.032599,            0.014862,           0.0027913,            0.002278,            0.002278,            0.002278
